SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
24269.12*A,AIRPORT,XS57,ASW,TEX,TX,TEXAS,MC LENNAN,TX,MC GREGOR,HAVELKA HAVEN,PR,PR,113275.28,31.46535556,350657.25,-97.40479167,711,SAN ANTONIO,11/1/2000,,,,
24269.11*A,AIRPORT,TE84,ASW,TEX,TX,TEXAS,MC LENNAN,TX,MC GREGOR,MOCKINGBIRD HILL,PR,PR,113274.59,31.46516389,350911.05,-97.47529167,810,SAN ANTONIO,8/1/2000,,,,
24272.14*A,AIRPORT,T31,ASW,TEX,TX,TEXAS,COLLIN,TX,MC KINNEY,AERO COUNTRY,PR,PU,119550.42,33.20845,348270.988,-96.74194111,765,DALLAS-FT WORTH,11/1/1976,,,,
24272.01*H,HELIPORT,TE66,ASW,TEX,TX,TEXAS,COLLIN,TX,MC KINNEY,LMC,PR,PR,119570.34,33.21398333,347877.84,-96.63273333,708,DALLAS-FT WORTH,6/1/2000,,,,
24272.11*A,AIRPORT,TS63,ASW,TEX,TX,TEXAS,COLLIN,TX,MC KINNEY,SQUARE AIR,PR,PR,119685.414,33.24594833,347630.96,-96.56415556,655,DALLAS-FT WORTH,3/1/1984,,,,
24275.1*A,AIRPORT,2.00E+07,ASW,TEX,TX,TEXAS,GRAY,TX,MC LEAN,MC LEAN/GRAY COUNTY,PU,PU,126888.7,35.24686111,361968.5,-100.5468056,2835,DALLAS-FT WORTH,9/1/1955,N,N,N,Y
24272.16*H,HELIPORT,6XA7,ASW,TEX,TX,TEXAS,COLLIN,TX,MCKINNEY,BAYLOR SCOTT & WHITE MED CTR - MCKINNEY,PR,PR,119593.24,33.22034444,348060.52,-96.68347778,631,DALLAS-FT WORTH,12/1/2012,,,,
24272.18*A,AIRPORT,61XA,ASW,TEX,TX,TEXAS,COLLIN,TX,MCKINNEY,DOBRANSKY,PR,PR,119661.75,33.239375,348118.95,-96.69970833,674,DALLAS-FT WORTH,9/1/2013,,,,
24322.*A,AIRPORT,87XS,ASW,TEX,TX,TEXAS,BANDERA,TX,MEDINA,CINCO B RANCH,PR,PR,107248,29.79111111,357351,-99.26416667,1457,SAN ANTONIO,12/1/1948,N,N,N,N
24322.01*A,AIRPORT,XS11,ASW,TEX,TX,TEXAS,BANDERA,TX,MEDINA,IDLEWILD,PR,PR,107195.799,29.77661083,357693.158,-99.35921056,1660,SAN ANTONIO,11/1/1970,,,,
24322.2*A,AIRPORT,XS13,ASW,TEX,TX,TEXAS,BANDERA,TX,MEDINA,T-4 RANCH,PR,PR,107339.794,29.81660944,357108.142,-99.19670611,1595,SAN ANTONIO,11/1/1971,,,,
24339.*A,AIRPORT,F21,ASW,TEX,TX,TEXAS,HALL,TX,MEMPHIS,MEMPHIS MUNI,PU,PU,125062.522,34.73958944,361906.923,-100.5297008,2102,DALLAS-FT WORTH,12/1/1946,N,N,N,Y
